5-APR-1985      15:54	VIR. CORE LEFT=70330
TOTAL PAGES 401943  FILES 25949

  INHOUSE      QUOTA             OVER          OUTHOUSE

194130   12598                           207813   13351

  9 17952 851 100000 SYS                  14 302501149  50000 DOPS52501
 17 15672 547  20000 BUBBANAL             28 29007 117 100000 BILL025
 24 14680 227  25000 UTIL                 37 19086 963 100000 MEMI225E
 31 136651270 1000000 SRATECH             46 17657 931 100000 DOPS5251
 35  7560 588  25000 COEES2506            52 13167 765  75000 INTER2501
 39  7526 475  50000 WEUSKE               56  8551 897 100000 COEES2501
 43  7170 291 100000 JMS                  60  7935 605 100000 COEES251R
 46  6594 176  40000 SRAFT                63  6967 481  25000 EXPRT2501
 49  6129 101  25000 OPER                 66  6465 898  75000 SYS002501
 52  5852 203  10000 TELCOM               69  5208 469  25000 WI0000EX
 55  5781 412  50000 UPL                  71  5061 199 100000 DV1ES25
 58  4517  32   6250 FTMAGNUM             73  4357 340  25000 SYS0025
 60  4497  28   5000 XMAGNUM              75  3620 438  25000 MARZ49
 62  4011  29   6250 MAGNUM               77  3573 426  25000 SYS0025TT
 64  3945 612 250000 NDT                  79  3335 237 100000 CHUCK25
 66  3798 238 250000 BILLING10            80  3108 322 100000 WSTH01DP
 68  3401 652  25000 UFD                  82  3102 110  25000 DOPS525BA
 69  2711 511  10000 WRS                  83  3035  20   3000>TNTELCO 35
 71  2683 137  50000 FTSYS                84  2876  83  25000 BT1000CE
 72  2387  87  12500 SPPARCH              86  2813 324  12500 XAIL
 73  2043 134   3000 JAIL                 87  2620 123  25000 AI0000EX
 74  1927 106   5000 BRADYA               88  2465 102  25000 LTTR0CCE
 75  1894  95  25000 *6NEWS               89  2241 147 100000 COEES25D3
 76  1785 141   2500 MARTINEZ             90  1643 135 100000 WSTH02DP
 77  1685 102   2500 BERT                 91  1249   8  25000 MARTT8
 77  1452  21  25000 CRASH                91  1197  59   1250 SAIL
 78  1328  71 250000 CARL                 92  1194 289 100000 SYS002507
 79  1325 153   5000 BUSPLN               92  1145  80 250000 CC
